actualelapsedtime,airtime,arrdelay,arrtime,crsarrtime,crsdeptime,crselapsedtime,cancelled,dayofweek,dayofmonth,depdelay,deptime,dest,distance,diverted,flightnum,month,origin,tailnum,taxiin,taxiout,uniquecarrier,year
53.0,32.0,-8.0,1642.0,1650,1545,65.0,0,4,10,4.0,1549.0,PIT,205.0,0,209,10,DCA,N443US,7.0,14.0,US,2002
164.0,155.0,-11.0,1754.0,1805,1610,175.0,0,4,2,0.0,1610.0,MCI,1072.0,0,109,12,MCO,N755,2.0,7.0,WN,1999
45.0,29.0,2.0,1120.0,1118,1030,48.0,0,1,19,5.0,1035.0,CMH,116.0,0,5873,6,CVG,N785CA,3.0,13.0,OH,2006
49.0,37.0,2.0,1137.0,1135,1048,47.0,0,4,2,0.0,1048.0,CLT,156.0,0,353,1,MYR,N934VJ,6.0,6.0,US,1997
61.0,40.0,-3.0,1537.0,1540,1440,60.0,0,7,20,-4.0,1436.0,LAW,140.0,0,3281,7,DFW,N286AE,7.0,14.0,MQ,2008
150.0,126.0,-19.0,2015.0,2034,1745,169.0,0,4,15,0.0,1745.0,ATL,903.0,0,1521,10,PVD,N919DE,14.0,10.0,DL,1998
115.0,103.0,-5.0,735.0,740,640,120.0,0,2,16,0.0,640.0,SEA,689.0,0,1678,6,SLC,N346,2.0,10.0,WN,1998
170.0,135.0,10.0,1051.0,1041,800,161.0,0,4,22,1.0,801.0,MCO,950.0,0,1123,10,LGA,N558AA,3.0,32.0,AA,1998
100.0,81.0,-2.0,1220.0,1222,1045,97.0,0,1,6,-5.0,1040.0,ATL,300.0,0,4120,11,GNV,N632AS,10.0,9.0,EV,2006
79.0,70.0,-16.0,1444.0,1500,1220,100.0,0,7,19,5.0,1225.0,PIT,553.0,0,754,11,STL,N970VJ,5.0,4.0,US,1995
133.0,117.0,40.0,1429.0,1349,1044,125.0,0,4,30,32.0,1116.0,BOS,867.0,0,1270,1,ORD,N7280U,5.0,11.0,UA,1997
33.0,22.0,-3.0,1916.0,1919,1845,34.0,0,2,6,-2.0,1843.0,HNL,100.0,0,549,11,OGG,N477HA,5.0,6.0,HA,2007
57.0,31.0,-9.0,1659.0,1708,1612,56.0,0,5,4,-10.0,1602.0,ATL,152.0,0,4632,2,TYS,N846AS,9.0,17.0,EV,2005
79.0,65.0,13.0,1558.0,1545,1420,85.0,0,3,4,19.0,1439.0,SMF,480.0,0,950,8,SAN,N358,3.0,11.0,WN,1999
95.0,74.0,136.0,2343.0,2127,2035,112.0,0,7,30,153.0,2308.0,SGF,563.0,0,4811,7,ATL,N854AS,3.0,18.0,EV,2006
105.0,61.0,3.0,2017.0,2014,1835,99.0,0,5,7,-3.0,1832.0,PIT,335.0,0,1587,1,LGA,N934VJ,7.0,37.0,US,2000
143.0,122.0,4.0,824.0,820,600,140.0,0,4,21,1.0,601.0,ATL,780.0,0,662,12,HPN,N996AT,11.0,10.0,FL,2006
67.0,52.0,-4.0,1514.0,1518,1410,68.0,0,7,23,-3.0,1407.0,PVD,328.0,0,2614,8,BWI,N278AU,6.0,9.0,US,1998
97.0,76.0,2.0,1359.0,1357,1215,102.0,0,6,23,7.0,1222.0,CLE,404.0,0,281,12,EWR,N27610,4.0,17.0,CO,2000
245.0,228.0,-14.0,2007.0,2021,1800,261.0,0,2,26,2.0,1802.0,DEN,1619.0,0,239,12,LGA,N327UA,5.0,12.0,UA,1995
81.0,60.0,-6.0,1049.0,1055,930,85.0,0,2,21,-2.0,928.0,MDT,429.0,0,4473,8,CVG,N926EV,5.0,16.0,EV,2007
123.0,86.0,10.0,1442.0,1432,1245,107.0,0,5,15,-6.0,1239.0,DTW,453.0,0,1781,11,PHL,N775NC,18.0,19.0,NW,2002
69.0,54.0,-12.0,1756.0,1808,1644,84.0,0,6,29,3.0,1647.0,MSP,334.0,0,765,9,ORD,N986ä1,5.0,10.0,UA,2001
59.0,44.0,-4.0,1230.0,1234,1125,69.0,0,1,24,6.0,1131.0,LIT,296.0,0,489,3,STL,N52310,3.0,12.0,TW,1997
110.0,104.0,-2.0,2333.0,2335,2135,120.0,0,5,28,8.0,2143.0,HOU,687.0,0,551,12,STL,N81@@@,2.0,4.0,WN,2001
119.0,100.0,-18.0,1547.0,1605,1450,135.0,0,3,3,-2.0,1448.0,ORD,599.0,0,7449,12,CLT,N679BR,7.0,11.0,DH,2003
51.0,35.0,-14.0,647.0,701,600,61.0,0,1,12,-4.0,556.0,IAH,201.0,0,2510,5,CRP,N15910,8.0,8.0,XE,2003
222.0,200.0,-4.0,1216.0,1220,830,230.0,0,4,26,4.0,834.0,SJU,1576.0,0,1268,10,PHL,N782AU,8.0,14.0,US,1995
157.0,144.0,1.0,941.0,940,700,160.0,0,1,8,4.0,704.0,TPA,920.0,0,223,4,PHL,N223US,5.0,8.0,US,1996
59.0,39.0,4.0,917.0,913,818,55.0,0,4,30,0.0,818.0,ANC,261.0,0,88,7,FAI,N764AS,5.0,15.0,AS,1998
88.0,75.0,-10.0,1250.0,1300,1125,95.0,0,7,10,-3.0,1122.0,MEM,559.0,0,1711,9,AUS,N8925E,5.0,8.0,NW,1995
64.0,50.0,-24.0,1956.0,2020,1900,80.0,0,2,10,-8.0,1852.0,LGA,214.0,0,4976,2,DCA,N720MQ,5.0,9.0,MQ,2004
